#LAMBDA	MINUS1 EXP PLUS1
10.0000 0.0576 0.5397 0.0576
10.1961 0.0603 0.5670 0.0603
10.3922 0.0640 0.5953 0.0640
10.5882 0.0666 0.6244 0.0666
10.7843 0.0695 0.6535 0.0695
10.9804 0.0730 0.6844 0.0730
11.1765 0.0766 0.7153 0.0766
11.3725 0.0796 0.7469 0.0796
11.5686 0.0830 0.7797 0.0830
11.7647 0.0867 0.8124 0.0867
11.9608 0.0903 0.8463 0.0903
12.1569 0.0940 0.8804 0.0940
12.3529 0.0976 0.9161 0.0976
12.5490 0.1017 0.9521 0.1017
12.7451 0.1058 0.9884 0.1058
12.9412 0.1094 1.0259 0.1094
13.1373 0.1141 1.0635 0.1141
13.3333 0.1176 1.1028 0.1176
13.5294 0.1224 1.1422 0.1224
13.7255 0.1261 1.1823 0.1261
13.9216 0.1306 1.2225 0.1306
14.1176 0.1350 1.2644 0.1350
14.3137 0.1396 1.3064 0.1396
14.5098 0.1443 1.3492 0.1443
14.7059 0.1488 1.3929 0.1488
14.9020 0.1533 1.4376 0.1533
15.0980 0.1588 1.4822 0.1588
15.2941 0.1633 1.5277 0.1633
15.4902 0.1679 1.5742 0.1679
15.6863 0.1734 1.6215 0.1734
15.8824 0.1789 1.6688 0.1789
16.0784 0.1833 1.7179 0.1833
16.2745 0.1888 1.7671 0.1888
16.4706 0.1943 1.8169 0.1943
16.6667 0.1997 1.8679 0.1997
16.8627 0.2052 1.9189 0.2052
17.0588 0.2107 1.9704 0.2107
17.2549 0.2161 2.0232 0.2161
17.4510 0.2215 2.0771 0.2215
17.6471 0.2281 2.1313 0.2281
17.8431 0.2334 2.1858 0.2334
18.0392 0.2399 2.2415 0.2399
18.2353 0.2452 2.2974 0.2452
18.4314 0.2517 2.3540 0.2517
18.6275 0.2582 2.4122 0.2582
18.8235 0.2638 2.4700 0.2638
19.0196 0.2701 2.5291 0.2701
19.2157 0.2765 2.5893 0.2765
19.4118 0.2828 2.6494 0.2828
19.6078 0.2892 2.7105 0.2892
19.8039 0.2965 2.7724 0.2965
20.0000 0.3029 2.8344 0.3019
