#M xsecVis(/fb) S95 UP DN
0 0.18  6.7 3.3 1.4
260 1.13    33.4    12 8.3
300 2.07    53.2 20.7 15.6
400 1.90    43.7    19.8    6.8
500 0.89    29.6    11.2    8.9
600 0.60    21.6    8.7 5.9
700 0.36    12.9    4.3 4.8
750 0.29    10.6    4.7 2.5
800 0.28    10.2    3.6 4.1
900 0.23    8.4 1.9 5.7
1000 0.15   5.4 2.8 1.3
